--------Part 1---------   --------Part 2---------
Day       Time    Rank  Score       Time    Rank  Score
 14   05:09:15   19877      0   05:09:26   11717      0
 13   00:35:15    3986      0   00:39:18    3147      0
 12   03:14:17    9424      0   03:14:26    7963      0
 11   01:20:24    6703      0   01:20:49    6381      0
 10   00:25:29    5562      0   00:32:22    4009      0
  9   00:20:19    4790      0   00:24:36    1233      0
  8   00:50:49   10498      0   03:48:09   10691      0
  7   07:12:06   36381      0   07:15:57   34063      0
  6   00:48:58   10454      0   00:56:03    6506      0
  5   01:35:04    9462      0   02:17:08    9431      0
  4   13:26:05   39513      0   13:29:50   35826      0
  3       >24h   93297      0       >24h   75561      0
  2       >24h  112614      0       >24h  114732      0
  1       >24h  143857      0       >24h  133972      0
